Symbol,FDR,AUC.ctrl
Eif4e, 5.26e-88,0.680
Cdk2ap1, 5.77e-88,0.680
Atpif1, 5.77e-88,0.679
Magoh, 7.10e-88,0.678
Exosc5, 1.26e-87,0.680
Mdh2, 4.81e-87,0.677
Tpm3, 1.70e-86,0.678
Slc25a3, 2.03e-86,0.678
Psmc5, 1.57e-85,0.678
Pdap1, 2.35e-85,0.678
Tmem160, 4.77e-85,0.677
Rpl37, 9.02e-85,0.676
Ube2i, 1.55e-84,0.676
Cyc1, 1.77e-84,0.677
Mrpl36, 2.20e-84,0.677
Hmgb1, 2.55e-84,0.676
Lsm6, 3.12e-84,0.677
Srsf9, 3.25e-84,0.675
Grcc10, 6.09e-84,0.676
Mydgf, 1.77e-83,0.676
Swi5, 1.97e-83,0.675
Nip7, 2.43e-83,0.676
Nasp, 3.08e-83,0.675
Dad1, 3.55e-83,0.674
Eno1, 3.62e-83,0.675
Myc, 4.20e-83,0.675
Tcp1, 4.84e-83,0.675
mt-Nd1, 6.88e-83,0.674
Ssbp4, 1.40e-82,0.675
Pfdn6, 3.27e-82,0.674
Tomm40, 3.27e-82,0.674
Tomm6, 4.69e-82,0.674
Dtymk, 8.77e-82,0.674
Nsun2, 8.82e-82,0.674
Pum3, 1.06e-81,0.674
Atp5d, 1.06e-81,0.673
Rwdd1, 1.91e-81,0.674
Txn2, 3.42e-81,0.673
Basp1, 3.75e-81,0.673
Actr3, 9.11e-81,0.671
Mrps28, 1.12e-80,0.673
Eif1, 2.10e-80,0.671
Rps26, 2.15e-80,0.671
Ndufc1, 3.57e-80,0.671
Dnajc2, 1.03e-79,0.672
Dnaja2, 1.72e-79,0.670
Polr1d, 3.60e-79,0.670
Gcsh, 6.42e-79,0.671
Eif6, 6.71e-79,0.671
Naa50, 8.00e-79,0.671
Tpi1, 1.78e-78,0.669
Psma4, 2.15e-78,0.669
Rpl27-ps3, 2.24e-78,0.669
Rps6, 2.70e-78,0.669
Pdcd5, 4.36e-78,0.670
Uba52, 8.68e-78,0.669
Eif5b, 1.01e-77,0.669
Ndufv2, 1.47e-77,0.669
Glrx5, 3.24e-77,0.669
Plac8, 3.96e-77,0.667
Idh3a, 1.04e-76,0.668
Strap, 1.27e-76,0.668
Pno1, 1.29e-76,0.668
Atp5j, 1.54e-76,0.667
Arpc3, 2.40e-76,0.667
Eif3j1, 2.84e-76,0.668
Lsm2, 7.72e-76,0.667
